id,competition_id,skater_name,nation,rank,program_type,category,total_score,tes_score,pcs_score,deductions
123,2,Madeline SCHIZAS,CAN,7,Free,Women,117.92,62.81,55.11,0.0
124,2,Mariia SENIUK,ISR,8,Free,Women,114.35,61.02,53.33,0.0
125,2,Sarah EVERHARDT,USA,9,Free,Women,111.12,53.48,58.64,-1.0
126,2,Uliana SHIRYAEVA,CAN,10,Free,Women,108.7,61.04,47.66,0.0
127,2,Ahsun YUN,KOR,11,Free,Women,107.73,55.44,53.29,-1.0
128,2,Sara-Maude DUPUIS,CAN,12,Free,Women,103.17,49.58,53.59,0.0
129,2,Mone CHIBA,JPN,1,Short,Women,72.29,38.74,33.55,0.0
130,2,Isabeau LEVITO,USA,2,Short,Women,71.8,37.08,34.72,0.0
131,2,Lara Naki GUTMANN,ITA,3,Short,Women,68.11,35.89,32.22,0.0
132,2,Ami NAKAI,JPN,4,Short,Women,66.55,35.96,31.59,-1.0
133,2,Bradie TENNELL,USA,5,Short,Women,65.55,33.4,32.15,0.0
134,2,Yuna AOKI,JPN,6,Short,Women,64.58,32.51,32.07,0.0
135,2,Sarah EVERHARDT,USA,7,Short,Women,63.47,32.78,30.69,0.0
136,2,Sara-Maude DUPUIS,CAN,8,Short,Women,60.41,32.48,27.93,0.0
137,2,Ahsun YUN,KOR,9,Short,Women,58.84,32.19,27.65,-1.0
138,2,Mariia SENIUK,ISR,10,Short,Women,57.4,31.18,26.22,0.0
139,2,Uliana SHIRYAEVA,CAN,11,Short,Women,53.28,29.14,24.14,0.0
140,2,Madeline SCHIZAS,CAN,12,Short,Women,48.72,22.88,27.84,-2.0
141,3,Yuma KAGIYAMA,JPN,1,Free,Men,182.29,95.01,88.28,-1.0
142,3,Adam SIAO HIM FA,FRA,2,Free,Men,164.48,78.83,85.65,0.0
143,3,Stephen GOGOLEV,CAN,3,Free,Men,164.26,85.77,78.49,0.0
144,3,Roman SADOVSKY,CAN,4,Free,Men,160.38,79.13,81.25,0.0
145,3,Sota YAMAMOTO,JPN,5,Free,Men,157.36,77.74,80.62,-1.0
146,3,Jason BROWN,USA,6,Free,Men,155.51,70.4,86.11,-1.0
147,3,Matteo RIZZO,ITA,7,Free,Men,150.8,71.27,79.53,0.0
148,3,Andreas NORDEBACK,SWE,8,Free,Men,144.68,72.38,72.3,0.0
149,3,Deniss VASILJEVS,LAT,9,Free,Men,134.63,60.61,76.02,-2.0
150,3,Mihhail SELEVKO,EST,10,Free,Men,134.07,62.48,73.59,-2.0
151,3,Jimmy MA,USA,11,Free,Men,128.12,61.96,67.16,-1.0
152,3,Valtter VIRTANEN,FIN,12,Free,Men,111.87,49.83,63.04,-1.0
153,3,Adam SIAO HIM FA,FRA,1,Short,Men,92.5,48.83,43.67,0.0
154,3,Stephen GOGOLEV,CAN,2,Short,Men,89.35,51.52,37.83,0.0
155,3,Yuma KAGIYAMA,JPN,3,Short,Men,88.16,45.5,43.66,-1.0
156,3,Jason BROWN,USA,4,Short,Men,87.66,43.54,44.12,0.0
157,3,Mihhail SELEVKO,EST,5,Short,Men,84.18,45.05,39.13,0.0
158,3,Roman SADOVSKY,CAN,6,Short,Men,82.91,43.42,39.49,0.0
159,3,Sota YAMAMOTO,JPN,7,Short,Men,81.09,41.32,39.77,0.0
160,3,Matteo RIZZO,ITA,8,Short,Men,78.75,39.79,39.96,-1.0
161,3,Deniss VASILJEVS,LAT,9,Short,Men,75.45,38.27,39.18,-2.0
162,3,Jimmy MA,USA,10,Short,Men,67.99,33.26,35.73,-1.0
163,3,Andreas NORDEBACK,SWE,11,Short,Men,67.93,31.79,36.14,0.0
164,3,Valtter VIRTANEN,FIN,12,Short,Men,61.92,29.87,33.05,-1.0
165,3,Mone CHIBA,JPN,1,Free,Women,144.33,74.43,69.9,0.0
166,3,Amber GLENN,USA,2,Free,Women,137.69,70.09,67.6,0.0
