id,performance_id,element_index,element_name,base_value,goe,panel_score,judges_scores,is_bonus
912,95,10,3Lo+2A+SEQ,9.02,-1.33,7.69,"-4,-3,1,-3,0,-3,-4,-3,-3",True
913,95,11,CSSp2V,1.73,0.27,2.0,"0,2,2,2,2,2,1,1,1",False
914,95,12,CCoSp4,3.5,0.1,3.6,"-1,1,2,0,1,1,1,-1,-1",False
915,96,1,4T,9.5,1.76,11.26,"1,3,2,2,2,0,3,1,2",False
916,96,2,4S+3T,13.9,1.94,15.84,"2,2,2,3,2,2,2,2,1",False
917,96,3,4SF,9.7,-4.85,4.85,"-5,-5,-5,-5,-5,-5,-5,-5,-5",False
918,96,4,3A+2A+SEQ,11.3,-0.8,10.5,"-2,0,-1,-1,-1,-1,0,-2,-1",False
919,96,5,FCSp2,2.3,0.03,2.33,"-1,0,1,1,0,0,0,0,0",False
920,96,6,3A+1Eu+3S,14.08,1.03,15.11,"0,1,2,1,1,2,2,2,0",True
921,96,7,3F,5.83,1.14,6.97,"2,1,2,3,3,2,2,3,1",True
922,96,8,3Lz,6.49,-0.25,6.24,"0,0,-1,-1,0,0,-1,-1,0",True
923,96,9,CSSp3,2.6,0.48,3.08,"2,2,1,2,3,2,1,2,2",False
924,96,10,StSq3,3.3,0.57,3.87,"2,2,2,1,3,2,1,1,2",False
925,96,11,ChSq1,3.0,0.93,3.93,"2,3,2,1,2,3,1,0,2",False
926,96,12,CCoSp3,3.0,0.43,3.43,"1,2,1,1,2,2,1,1,2",False
927,97,1,4T+2T,10.8,2.17,12.97,"3,2,2,2,2,4,3,2,2",False
928,97,2,4TF,9.5,-4.75,4.75,"-5,-5,-5,-5,-5,-5,-5,-5,-5",False
929,97,3,4S<F<,7.76,-3.88,3.88,"-5,-5,-5,-5,-5,-5,-5,-5,-5",False
930,97,4,3Loq,4.9,-0.63,4.27,"-1,-2,-2,-1,0,0,-1,-2,-2",False
931,97,5,FCSp4,3.2,0.73,3.93,"4,2,2,2,3,3,1,2,2",False
932,97,6,3A+1Eu+3S,14.08,1.49,15.57,"1,2,2,2,1,2,3,2,2",True
933,97,7,3F+2A+SEQ,9.46,1.36,10.82,"3,2,3,2,2,2,3,3,3",True
934,97,8,3A,8.8,1.6,10.4,"3,2,2,2,2,2,2,2,2",True
935,97,9,StSq3,3.3,1.08,4.38,"5,4,3,3,3,4,3,3,3",False
936,97,10,CSSp4,3.0,0.73,3.73,"3,2,3,2,3,3,1,2,2",False
937,97,11,ChSq1,3.0,1.5,4.5,"5,3,2,4,4,3,0,1,4",False
938,97,12,CCoSp3V,2.25,-0.45,1.8,"-1,-2,-3,-2,-1,0,-3,-2,-3",False
939,98,1,4S+2A+SEQ,13.0,2.49,15.49,"0,2,3,3,2,3,3,2,3",False
940,98,2,3Lz+3Tq,10.1,-1.18,8.92,"-2,-3,-2,-2,-2,-2,-2,-2,-2",False
941,98,3,3A,8.0,2.29,10.29,"3,3,3,3,3,3,4,2,2",False
942,98,4,3Lo,4.9,1.12,6.02,"0,3,3,2,3,2,3,1,2",False
943,98,5,StSq3,3.3,0.8,4.1,"2,2,3,2,4,3,3,2,2",False
944,98,6,4S<F<,8.54,-3.88,4.66,"-5,-5,-5,-5,-5,-5,-5,-5,-5",True
945,98,7,3Lzq,6.49,-2.19,4.3,"-3,-4,-4,-5,-3,-4,-4,-4,-3",True
946,98,8,2A+1Eu+3Sq,8.91,-0.68,8.23,"-3,-2,-2,-1,-1,-1,-2,-2,-1",True
947,98,9,FCCoSp3,3.0,0.6,3.6,"2,2,2,1,3,2,1,2,3",False
948,98,10,CCSp4,3.2,1.1,4.3,"3,4,3,3,4,3,3,4,4",False
949,98,11,ChSq1,3.0,0.86,3.86,"-1,1,2,1,2,2,2,2,2",False
950,98,12,CCoSp4,3.5,1.0,4.5,"3,3,3,3,3,3,2,2,3",False
951,99,1,4F!<,8.8,-4.4,4.4,"-5,-5,-5,-5,-5,-5,-5,-5,-5",False
952,99,2,3Lo,4.9,0.77,5.67,"1,2,1,2,2,2,1,1,2",False
953,99,3,3Lz,5.9,0.93,6.83,"1,2,1,2,2,1,0,2,2",False
954,99,4,3Aq+1Eu+3S,12.8,-1.14,11.66,"-2,-1,-2,-2,-1,0,-1,-1,-2",False
955,99,5,CCSp3,2.8,0.28,3.08,"1,1,1,1,1,1,0,1,1",False
956,99,6,4Lzq,12.65,-2.63,10.02,"-2,-2,-3,-2,-2,-3,-2,-2,-4",True
957,99,7,3A+2A+SEQ,12.43,1.14,13.57,"1,1,1,1,2,2,1,2,2",True
958,99,8,3Lz+3T,11.11,0.84,11.95,"1,0,1,2,2,2,2,1,1",True
959,99,9,FSSp3,2.6,0.15,2.75,"0,1,1,1,1,1,0,0,0",False
960,99,10,StSq3,3.3,0.57,3.87,"1,2,2,2,3,2,1,1,2",False
961,99,11,ChSq1,3.0,1.0,4.0,"1,2,2,2,3,2,2,2,2",False
962,99,12,CCoSp3V,2.25,0.23,2.48,"0,1,1,1,2,1,1,1,1",False
963,100,1,4Sq,9.7,-1.52,8.18,"-1,-1,-2,-2,-2,-1,-1,-2,-2",False
964,100,2,4T,9.5,-1.09,8.41,"-1,-1,-2,-2,-1,-1,-1,-1,-1",False
965,100,3,4S+REP,6.79,-2.77,4.02,"-4,-3,-3,-3,-2,-2,-3,-3,-3",False
966,100,4,ChSq1,3.0,0.71,3.71,"2,2,1,1,2,0,1,2,1",False
967,100,5,3A+1Eu+3S,12.8,-0.46,12.34,"0,2,-1,-1,0,-1,0,-1,-1",False
968,100,6,CCoSp2V,1.88,0.08,1.96,"0,1,1,1,1,0,0,0,0",False
969,100,7,3F+3A+SEQ,14.63,1.6,16.23,"2,2,2,2,2,3,2,2,2",True
970,100,8,3Lz+2T,7.92,-1.77,6.15,"-3,-4,-2,-3,-3,-3,-3,-3,-3",True
971,100,9,3Lo,5.39,0.77,6.16,"2,1,1,2,2,2,1,2,1",True
972,100,10,FCSp4,3.2,0.5,3.7,"0,2,1,2,3,2,1,2,1",False
973,100,11,StSq4,3.9,0.78,4.68,"3,2,2,2,3,3,1,1,1",False
974,100,12,FCCoSp3V,2.25,-0.1,2.15,"-3,1,1,-1,1,-1,-2,-1,0",False
975,101,1,4T+2T,10.8,0.95,11.75,"0,2,1,2,0,2,1,1,0",False
976,101,2,2T,1.3,-0.45,0.85,"-4,-5,-4,-3,-3,-2,-2,-4,-4",False
977,101,3,3A,8.0,0.57,8.57,"2,2,1,1,0,0,1,0,0",False
978,101,4,FCCoSp2V,1.88,0.38,2.26,"2,2,2,2,3,2,2,2,1",False
979,101,5,3S,4.3,0.25,4.55,"1,0,1,1,0,0,2,1,0",False
980,101,6,3A+2A+SEQ,12.43,0.91,13.34,"1,2,1,2,1,1,1,1,0",True
981,101,7,3Lz+1Eu+3Fq,12.87,-1.18,11.69,"-2,-1,-2,-2,-2,-3,-2,-2,-2",True
982,101,8,3Lo,5.39,0.56,5.95,"2,1,2,2,1,0,1,1,0",True
983,101,9,FSSp4,3.0,0.21,3.21,"-1,1,1,2,2,1,0,0,0",False
984,101,10,StSq4,3.9,0.84,4.74,"1,2,3,3,3,2,3,1,1",False
985,101,11,ChSq1,3.0,1.14,4.14,"1,3,3,2,3,3,3,1,1",False
986,101,12,CCoSp4V,2.63,0.49,3.12,"0,2,2,2,3,2,2,1,2",False
987,102,1,4Lz,11.5,3.29,14.79,"2,3,2,3,3,4,4,2,3",False
988,102,2,2S,1.3,0.04,1.34,"-1,1,0,2,1,0,-1,1,0",False
989,102,3,3A,8.0,0.11,8.11,"0,1,0,0,0,1,0,0,0",False
990,102,4,3Lo,4.9,0.84,5.74,"1,1,2,2,2,2,0,2,2",False
991,102,5,CCSp4,3.2,0.87,4.07,"3,3,2,3,3,3,3,2,2",False
992,102,6,3F+3T,10.45,0.98,11.43,"1,0,2,2,2,2,2,2,2",True
993,102,7,3Lz,6.49,-1.69,4.8,"-3,-3,-2,-3,-2,-3,-3,-3,-3",True
994,102,8,3F!+1Eu+3S,11.11,-0.61,10.5,"-2,-1,-1,-1,-1,0,-1,-1,-2",True
995,102,9,StSq2,2.6,0.52,3.12,"2,2,2,2,3,3,1,0,2",False
996,102,10,ChSq1,3.0,0.07,3.07,"0,0,2,1,1,-1,-2,-1,1",False
