id,performance_id,component_index,component_name,factor,panel_score,judges_scores
68,23,2,Presentation,1.67,7.79,"7.25,8.00,8.00,7.25,8.00,8.25,7.75,7.50,8.00"
69,23,3,Skating Skills,1.67,7.93,"7.50,8.25,8.25,7.50,7.75,8.25,7.75,7.75,8.25"
70,24,1,Composition,1.67,6.89,"6.75,7.25,7.50,6.75,7.00,6.75,6.75,6.25,7.00"
71,24,2,Presentation,1.67,6.75,"6.25,7.25,7.25,6.50,7.25,6.50,7.00,6.50,6.25"
72,24,3,Skating Skills,1.67,7.14,"7.25,7.25,7.50,7.00,6.75,6.50,7.25,7.00,7.50"
73,25,1,Composition,2.67,8.29,"8.25,8.25,8.00,8.25,8.50,8.00,8.25,8.50,8.50"
74,25,2,Presentation,2.67,8.32,"8.25,8.50,8.25,8.00,8.25,8.25,8.50,9.00,8.25"
75,25,3,Skating Skills,2.67,8.29,"8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.75,8.50"
76,26,1,Composition,2.67,8.57,"8.25,8.75,8.75,8.50,8.75,8.50,8.25,8.75,8.50"
77,26,2,Presentation,2.67,8.5,"8.50,8.25,8.50,8.75,8.50,8.25,8.50,8.50,8.75"
78,26,3,Skating Skills,2.67,8.46,"8.00,8.50,8.75,8.50,8.50,8.00,8.50,8.50,8.75"
79,27,1,Composition,2.67,8.04,"8.00,7.75,7.75,8.00,8.25,8.25,7.75,8.25,8.25"
80,27,2,Presentation,2.67,8.07,"7.75,7.75,7.75,8.25,8.00,8.50,7.75,8.50,8.50"
81,27,3,Skating Skills,2.67,7.93,"7.75,7.75,7.50,8.00,8.25,8.00,7.75,8.00,8.25"
82,28,1,Composition,2.67,7.93,"8.25,8.00,7.50,7.75,8.00,7.75,7.50,8.25,8.25"
83,28,2,Presentation,2.67,7.82,"8.00,8.00,7.25,7.50,7.50,8.00,7.75,8.00,8.25"
84,28,3,Skating Skills,2.67,7.89,"8.00,8.00,7.50,7.75,7.75,8.00,8.00,7.75,8.00"
85,29,1,Composition,2.67,7.93,"7.75,8.50,7.50,8.00,8.50,7.50,7.75,7.50,8.50"
86,29,2,Presentation,2.67,7.79,"7.50,8.00,7.25,7.75,8.00,7.75,7.75,7.75,8.50"
87,29,3,Skating Skills,2.67,8.04,"7.75,8.00,7.75,8.25,8.25,7.75,8.25,8.00,8.50"
88,30,1,Composition,2.67,7.57,"7.00,6.75,7.50,7.75,8.00,7.50,7.50,8.00,7.75"
89,30,2,Presentation,2.67,7.57,"7.25,7.50,7.50,7.50,7.50,7.50,7.75,8.00,7.75"
90,30,3,Skating Skills,2.67,7.75,"7.50,7.25,7.75,7.50,7.75,7.75,8.25,8.25,7.75"
91,31,1,Composition,2.67,7.0,"7.50,6.75,6.75,7.50,6.50,6.75,6.75,7.25,7.25"
92,31,2,Presentation,2.67,7.07,"7.25,7.25,6.50,7.25,6.75,6.50,7.25,7.50,7.25"
93,31,3,Skating Skills,2.67,6.93,"7.25,6.75,6.75,7.25,7.00,6.75,6.75,6.50,7.25"
94,32,1,Composition,2.67,7.36,"7.50,7.75,7.50,7.00,7.50,7.25,7.25,7.00,7.50"
95,32,2,Presentation,2.67,7.25,"7.25,7.00,7.50,6.75,7.50,7.00,7.50,7.00,7.75"
96,32,3,Skating Skills,2.67,7.61,"7.75,7.50,7.25,6.75,7.75,7.50,7.75,7.75,7.75"
97,33,1,Composition,2.67,7.29,"7.00,7.25,6.75,7.75,7.50,7.50,6.50,7.25,8.00"
